address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Gebruiksoppervlakten,Wonen,Overige inpandige ruimte,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Soort garage,Soort parkeergelegenheid,url,Specifiek,Externe bergruimte,Energielabel,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Balkon/dakterras,Tuin,Oorspronkelijke huurprijs,Cv-ketel,Soort woonhuis,Achtertuin,Ligging tuin,Oppervlakte,Capaciteit,Bouwperiode,Patio/atrium,Keurmerken,Zonneterras,Perceel
Hickorylaan 70,3545 CT Utrecht,"€ 1.541 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Maisonnette (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,135 m²,4 m²,6 m²,351 m³,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,1e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813359-hickorylaan-70/,,,,,,,,,,,,,,,,,,,,,,,,
Henriëtte Roland Holststraat 19,3511 MT Utrecht,€ 1.595 per maand (geen servicekosten),€ 1.595 eenmalig,Onbepaalde tijd,10 oktober 2022,Onder bod,In overleg,Portiekflat (appartement),Bestaande bouw,1997,,,70 m²,,5 m²,219 m³,3 kamers (2 slaapkamers),,,1 woonlaag,4e woonlaag,Lift en TV kabel,,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,"Aan rustige weg, in centrum en in woonwijk",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",https://www.funda.nl/huur/utrecht/appartement-88343505-henriette-roland-holststraat-19/,Gedeeltelijk gestoffeerd,5 m²,B,Box,Ja,Ja,Ja,Ja,Ja,Ja,,,,,,,,,,,,,,
CAB-rondom 135,3534 BJ Utrecht,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,74 m²,,11 m²,192 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991027-cab-rondom-135/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Hickorylaan 258,3545 CT Utrecht,"€ 1.329 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Maisonnette (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,108 m²,5 m²,4 m²,281 m³,4 kamers (2 slaapkamers),1 apart toilet,,2 woonlagen,,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814467-hickorylaan-258/,,,,,,,,,,,,Zonneterras,,,,,,,,,,,,
Tannhäuserdreef 274,3561 HR Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,2e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88228309-tannhauserdreef-274/,,,"D
            1,95",,Nee,Nee,Nee,Nee,Nee,Nee,,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,,,,,,,,
Tannhäuserdreef 316,3561 HS Utrecht,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,4 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88214220-tannhauserdreef-316/,,,"D
            1,77",,Nee,Nee,Nee,Nee,Nee,Nee,,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,,,,,,,,
CAB-rondom 159,3534 BJ Utrecht,€ 1.610 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2023,Plat dak bedekt met bitumineuze dakbedekking,,110 m²,2 m²,42 m²,286 m³,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992057-cab-rondom-159/,,,,,,,,,,,Balkon aanwezig,,,,,,,,,,,,,
Catharijnesingel 74 C,3511 GM Utrecht,"€ 1.600 per maand (exclusief servicekosten à € 250,00 /mnd)",€ 3.700 eenmalig,Tijdelijke verhuur,3 weken,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1920,,,32 m²,,,95 m³,2 kamers (1 slaapkamer),,,1 woonlaag,,,G,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88332938-catharijnesingel-74-c/,,,,,,,,,,,,,,,,,,,,,,,,
Faustdreef 411,3561 LN Utrecht,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.458 eenmalig,Onbepaalde tijd,4 maanden,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1967,,,80 m²,,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,7e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,,,"E
            2,35",,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,,,,,,,
Hickorylaan 346,3545 CT Utrecht,"€ 1.302 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,In overleg,Galerijflat (appartement),Nieuwbouw,2022,Plat dak bedekt met bitumineuze dakbedekking,,104 m²,8 m²,10 m²,270 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,3e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Parkeerkelder en parkeerplaats,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42813353-hickorylaan-346/,,,,,,,,,,,,,,,,,,,,,,,,
