address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler
Apartment Van Heuven Goedhartplein 653 in Utrecht,3527 DZ (Kanaleneiland-Noord),"€1,025 per month",3 weeks,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/9e510513/van-heuven-goedhartplein,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Sijpesteijnkade in Utrecht,3521 AH (Hoog-Catharijne NS en Jaarbeurs),€950 per month,3 months,For rent,Immediately,,43 m²,Gallery flat,New development,2,1,1,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,Excellent,112 m³,2022,1,No,,,,,,,,,,,,,,,,,,,,
House Carel Willinkstraat in Utrecht,3544 MA (Het Zand-West),"€1,650 per month",10-10-2022,For rent,From 15-11-2022,Upholstered,80 m²,"Mid-terrace house, Family home",Existing building,3,2,,"Mechanical ventilation
 Toilet
 Laundry room",,Present,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,Good,298 m³,2005,3,Yes,Temporary rental,"€3,300",in a residential area,Fully insulated,District heating,District heating,Present,Public,No,No,Working,"€4,950",2,,,,,,,
Apartment Jutfaseweg 96 in Utrecht,3522 HH (Rivierenwijk),€700 per month,09-10-2022,For rent,Immediately,Upholstered or furnished,20 m²,Apartment,Existing building,2,1,1,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,,,,No,Unlimited period,,,,,,Not present,,,,,,,Minimum of 1 months,,,,,,
Apartment Pal Maleterstraat 57 in Utrecht,3573 PG (Voordorp en Voorveldsepolder),"€1,675 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Koningslaan in Utrecht,3583 GB (Wilhelminapark en omgeving),"€1,250 per month

Includes: Service costs",12-10-2022,For rent,From 01-12-2022,Upholstered,50 m²,"Gallery flat, Apartment",Existing building,2,1,1,"Shower
 Toilet",,,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,No,,,,,,,,,,,,,,,,,,,,
Apartment Van Hoornekade 135 in Utrecht,3554 AT (Geuzenwijk),"€1,100 per month",21-10-2022,For rent,In consultation,,90 m²,Upstairs apartment,Existing building,4,2,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,Good,225 m³,1931,1,No,,,,,,,,Public,,,,,,,,,,,,
Apartment Visschersplein 178 in Utrecht,"3511 LX (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,495 per month",2 weeks,Under offer,From 01-11-2022,Upholstered,70 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,195 m³,Before 1906,1,,,"€2,990","In the city centre
 Near public transportation
 Near a school
 Near a shopping centre",,,District heating,,,,,,,,,Monumental building,,,,,
Studio Berlijnplein in Utrecht,3541 CM (Leidsche Rijn-Centrum),"€633 per month

Excludes: Service costs",3+ months,For rent,Immediately,Upholstered,30 m²,"Studio, Apartment",New development,1,,1,"Lift
 Shower
 Toilet",,Present,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,,,2022,1,No,,"€1,500",in a residential area,,"District heating, Partial floor heating",District heating,Not present,Garage,No,No,Working,"€2,000",2,,,€327,,,,
Apartment 2e Spechtstraat in Utrecht,3514 TW (Vogelenbuurt),"€1,625 per month",19-10-2022,For rent,From 01-12-2022,Upholstered,110 m²,"Double ground-floor flat, Main floor",Existing building,3,2,1,"Bath
 Shower
 Toilet",Present,"Present (12 m², located on the north-west)",,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,,330 m³,1904,2,,,"€1,625","On a quiet road
 In the city centre",,,,,,,,,,,,,,110 m²,achtertuin,,
Apartment Trumanlaan in Utrecht,3527 BM (Kanaleneiland-Noord),"€1,530 per month

Includes: Service costs",7 weeks,For rent,Immediately,Furnished,75 m²,"Upstairs apartment, Apartment",Existing building,3,2,2,Laundry room,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,,1960,1,No,Unlimited period,"€2,000",in a residential area,,,,Not present,Public,,,,,,,,,,,,
Apartment Karel Doormanlaan in Utrecht,"3572 NA (Huizingalaan, K. Doormanlaan en omgeving)","€1,750 per month",19-10-2022,For rent,From 01-12-2022,Furnished,100 m²,"Upstairs apartment, Apartment",Existing building,3,2,1,"Lift
 Toilet",Present,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,Good,250 m³,1965,1,No,Unlimited period,"€3,500",in a residential area,,,,Present,,No,No,Working,"€5,250",,,,,,,,
Apartment Peltlaan in Utrecht,3527 EB (Kanaleneiland-Noord),"€1,300 per month",2 weeks,For rent,Immediately,Furnished,72 m²,"Upstairs apartment, Apartment",Existing building,3,2,1,,,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/83bcf533/peltlaan,Good,,1959,1,No,Temporary rental,"€3,500",in a residential area,,,,Not present,Public,No,No,,,,,,,,,,
Studio Oudegracht in Utrecht,3511 AB (Wijk C),€730 per month,20-10-2022,For rent,Immediately,Furnished,24 m²,Studio,Existing building,1,1,1,,,Present,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,Excellent,75 m³,1818,1,No,Temporary rental,"€1,500",In the city centre,,,,Not present,,No,No,Working,,1,,Monumental building,€315,,,,
Apartment Pal Maleterstraat 47 in Utrecht,3573 PG (Voordorp en Voorveldsepolder),"€1,325 per month",2 months,For rent,Immediately,Shell,76 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/3b1d1c8e/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS (Lauwerecht),"€1,295 per month",8 weeks,For rent,Immediately,Upholstered,53 m²,Gallery flat,Existing building,2,1,1,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Heuven Goedhartplein 718 in Utrecht,3527 DZ (Kanaleneiland-Noord),"€1,105 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8a2351ec/van-heuven-goedhartplein,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Europaplein 859 in Utrecht,3526 WS (Transwijk-Zuid),"€1,150 per month",11-10-2022,For rent,From 14-11-2022,Shell,45 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/432542fa/europaplein,,,2007,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,
Apartment Gruttersdijk 28 H in Utrecht,3514 BH (Vogelenbuurt),"€1,500 per month",2 weeks,For rent,Immediately,Furnished,60 m²,Apartment,Existing building,2,1,1,"Shower
 Bath
 Toilet",Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/00ff528d/gruttersdijk,,,,,No,Temporary rental,,,,,,Not present,,,,,,,"Minimum of 12, maximum of 24 months",,,,,,
Apartment Twijnstraat in Utrecht,3511 ZL (Lange Nieuwstraat en omgeving),"€1,150 per month

Includes: Electricity, Gas, Water",2 weeks,For rent,In consultation,Upholstered,31 m²,"Upstairs apartment, Apartment",Existing building,2,1,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/40a9c93d/twijnstraat,Good,60 m³,1950,1,No,Temporary rental,"€1,150",In the city centre,,,,Not present,,,No,,,,,,,,,,
