,Unnamed: 0,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class,price_pm_mean,price_pm_std,living_area_mean,living_area_std,bedrooms_mean,bedrooms_std,rooms_mean,rooms_std,energie_class_mean,energie_class_std,count,price_pm_stddev_ratio,living_area_stddev_ratio,bedrooms_stddev_ratio,rooms_stddev_ratio,energie_class_stddev_ratio,ranking
29,1,Henriëtte Roland Holststraat 19,3511 MT,1595,,70.0,3.0,2.0,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88343505-henriette-roland-holststraat-19/,,,,,,,3511,22.785714285714285,5.0,29.212132258804818,10.230780402408014,49.02857142857143,18.876511570616806,1.0344827586206897,0.32544020963805487,1.8235294117647058,0.5758044825624731,6.588235294117647,1.6605279103876784,35,-0.6281454317578696,1.1109800925332365,2.9668037715841273,2.043177196189421,-0.9564640763833029,4.73876679686383
57,374,Appartement Henriëtte Roland Holststraat,3511MT,1595,,70.0,3.0,2.0,0.0,False,False,B,https://www.huurstunt.nl/appartement/huren/utrecht/henriette-roland-holststraat/46282574,,,1.595,,,,3511,22.785714285714285,5.0,29.212132258804818,10.230780402408014,49.02857142857143,18.876511570616806,1.0344827586206897,0.32544020963805487,1.8235294117647058,0.5758044825624731,6.588235294117647,1.6605279103876784,35,-0.6281454317578696,1.1109800925332365,2.9668037715841273,2.043177196189421,-0.9564640763833029,4.73876679686383
173,117,Kromme Nieuwegracht 11 C,3512 HC,1695,,100.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,,,,,,,3512,16.95,10.0,26.341374413290257,6.035381496856322,56.51020408163265,20.651999952566733,1.1956521739130435,0.45311588988010093,2.1020408163265305,0.5101020306102036,4.1875,3.103089857974897,49,-1.556053153919431,2.1058394353212373,1.7751481332949837,1.7603521056352123,1.8731329951860585,3.5491116996898224
119,100,Van Weerden Poelmanlaan 2,3527 KN,1350,,92.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,,,,,,,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
133,212,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,Minimum of 12 months,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
137,257,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
79,8,Faustdreef 411,3561 LN,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
85,54,Faustdreef 107,3561 LC,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
87,72,Faustdreef 473,3561 LR,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
92,116,Tannhäuserdreef 176,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,,3561,18.125,6.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,0.46334896980245244,0.17407765595570257,0.23570226039551503,0.17407765595569769,-2.198989666996085,2.083796009105033
