,address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler,region,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,energielabel,balcony,garden_size,garden
0,Apartment Van Heuven Goedhartplein 653 in Utrecht,3527 DZ ,"€1,025 per month",3 weeks,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1.0,1.0,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/9e510513/van-heuven-goedhartplein,,,,,,,,,,,,,,,,,,,,,,,,,,Kanaleneiland-Noord,1025,,54,2,1.0,1.0,A,False,,False
1,Apartment Van Sijpesteijnkade in Utrecht,3521 AH ,€950 per month,3 months,For rent,Immediately,,43 m²,Gallery flat,New development,2,1.0,1.0,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,Excellent,112 m³,2022,1,No,,,,,,,,,,,,,,,,,,,,,Hoog-Catharijne NS en Jaarbeurs,950,,43,2,1.0,1.0,,False,,False
2,House Carel Willinkstraat in Utrecht,3544 MA ,"€1,650 per month",10-10-2022,For rent,From 15-11-2022,Upholstered,80 m²,"Mid-terrace house, Family home",Existing building,3,2.0,,"Mechanical ventilation
 Toilet
 Laundry room",,Present,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,Good,298 m³,2005,3,Yes,Temporary rental,€3300,in a residential area,Fully insulated,District heating,District heating,Present,Public,No,No,Working,€4950,2,,,,,,,,Het Zand-West,1650,,80,3,2.0,,A,False,,True
3,Apartment Jutfaseweg 96 in Utrecht,3522 HH ,€700 per month,09-10-2022,For rent,Immediately,Upholstered or furnished,20 m²,Apartment,Existing building,2,1.0,1.0,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,,,,No,Unlimited period,,,,,,Not present,,,,,,,Minimum of 1 months,,,,,,,Rivierenwijk,700,,20,2,1.0,1.0,,False,,False
4,Apartment Pal Maleterstraat 57 in Utrecht,3573 PG ,"€1,675 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3.0,1.0,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,,Voordorp en Voorveldsepolder,1675,,112,4,3.0,1.0,B,True,,False
5,Apartment Koningslaan in Utrecht,3583 GB ,"€1,250 per month

Includes: Service costs",12-10-2022,For rent,From 01-12-2022,Upholstered,50 m²,"Gallery flat, Apartment",Existing building,2,1.0,1.0,"Shower
 Toilet",,,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,No,,,,,,,,,,,,,,,,,,,,,Wilhelminapark en omgeving,1250,,50,2,1.0,1.0,,False,,False
6,Apartment Van Hoornekade 135 in Utrecht,3554 AT ,"€1,100 per month",21-10-2022,For rent,In consultation,,90 m²,Upstairs apartment,Existing building,4,2.0,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,Good,225 m³,1931,1,No,,,,,,,,Public,,,,,,,,,,,,,Geuzenwijk,1100,,90,4,2.0,,,False,,False
7,Apartment Visschersplein 178 in Utrecht,3511 LX ,"€1,495 per month",2 weeks,Under offer,From 01-11-2022,Upholstered,70 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,1.0,,Not present,,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,195 m³,Before 1906,1,,,€2990,"In the city centre
 Near public transportation
 Near a school
 Near a shopping centre",,,District heating,,,,,,,,,Monumental building,,,,,,"Lange Elisabethstraat, Mariaplaats en omgeving",1495,,70,2,1.0,1.0,A,False,,False
8,Studio Berlijnplein in Utrecht,3541 CM ,"€633 per month

Excludes: Service costs",3+ months,For rent,Immediately,Upholstered,30 m²,"Studio, Apartment",New development,1,,1.0,"Lift
 Shower
 Toilet",,Present,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,,,2022,1,No,,€1500,in a residential area,,"District heating, Partial floor heating",District heating,Not present,Garage,No,No,Working,€2000,2,,,€327,,,,,Leidsche Rijn-Centrum,633,327,30,1,,1.0,,False,,True
9,Apartment 2e Spechtstraat in Utrecht,3514 TW ,"€1,625 per month",19-10-2022,For rent,From 01-12-2022,Upholstered,110 m²,"Double ground-floor flat, Main floor",Existing building,3,2.0,1.0,"Bath
 Shower
 Toilet",Present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,,330 m³,1904,2,,,€1625,"On a quiet road
 In the city centre",,,,,,,,,,,,,,110 m²,achtertuin,,,Vogelenbuurt,1625,,110,3,2.0,1.0,,True,12,True
