,Unnamed: 0,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Specifiek,Gebruiksoppervlakten,Wonen,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Balkon/dakterras,Soort parkeergelegenheid,url,Soort dak,Overige inpandige ruimte,Soort garage,Soort woonhuis,Perceel,Energielabel,Cv-ketel,Tuin,Achtertuin,Ligging tuin,Bouwperiode,Externe bergruimte,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Zonneterras,Oorspronkelijke huurprijs,Capaciteit,Keurmerken,Oppervlakte,rental_price,service_costs,rooms,bedrooms,Energierating
0,0,Gildstraat 86 B,3572 ER,€ 1.550 per maand (geen servicekosten),€ 1.550 eenmalig,Tijdelijke verhuur,20 oktober 2022,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1904,Gestoffeerd,,65,8 m²,155 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,2 woonlagen,3e woonlaag,TV kabel,G,Dakisolatie en gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Aan rustige weg en in woonwijk,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-42985072-gildstraat-86-b/,,,,,,G,,,,,,,,,,,,,,,,,,,1.550,,2 kamers ,1 slaapkamer,
1,1,Hickorylaan 96,3545 CT,"€ 1.181 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,81,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Balkon aanwezig,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814564-hickorylaan-96/,Plat dak bedekt met bitumineuze dakbedekking,4 m²,Parkeerkelder en parkeerplaats,,,A,,,,,,,,,,,,,,,,,,,1.181,"65,00",3 kamers ,2 slaapkamers,
2,2,CAB-rondom 147,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,Vandaag,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2023,,,74,11 m²,192 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,5e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992204-cab-rondom-147/,Plat dak bedekt met bitumineuze dakbedekking,2 m²,,,,A,,,,,,,,,,,,,,,,,,,927,,3 kamers ,2 slaapkamers,
3,3,CAB-rondom 129,3534 BJ,€ 1.595 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2023,,,110,42 m²,286 m³,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,,1 woonlaag,4e woonlaag,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42992027-cab-rondom-129/,Plat dak bedekt met bitumineuze dakbedekking,2 m²,,,,A,,,,,,,,,,,,,,,,,,,1.595,,3 kamers ,2 slaapkamers,
4,4,CAB-rondom 143,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,74,11 m²,192 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991033-cab-rondom-143/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,,,,,,,,,,,,,,,,,,927,,2 kamers ,1 slaapkamer,
5,5,Piet Heinstraat 9,3582 BX,€ 1.675 per maand (geen servicekosten),€ 1.675 eenmalig,Tijdelijke verhuur,3 weken,Beschikbaar,In overleg,,Bestaande bouw,1906,Gedeeltelijk gestoffeerd en monument,,70,50 m²,271 m³,2 kamers (1 slaapkamer),,,2 woonlagen,,TV kabel,,Dubbel glas,Cv-ketel,Cv-ketel,"Aan rustige weg, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",https://www.funda.nl/huur/utrecht/huis-88339734-piet-heinstraat-9/,Zadeldak bedekt met pannen,,,"Eengezinswoning, tussenwoning",93 m²,C,"Gas gestookt combiketel uit 2020, eigendom",Achtertuin,50 m² (10 meter diep en 5 meter breed),Gelegen op het oosten bereikbaar via achterom,,,,,,,,,,,,,,,1.675,,2 kamers ,1 slaapkamer,
6,6,Grifthoek 118,3514 JJ,"€ 1.569 per maand (exclusief servicekosten à € 55,00 /mnd)",€ 3.138 eenmalig,Onbepaalde tijd,19 oktober 2022,Beschikbaar,Per direct beschikbaar,Galerijflat (appartement),Bestaande bouw,,,,80,5 m²,208 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,1e woonlaag,Glasvezelkabel en mechanische ventilatie,,Dubbel glas,Cv-ketel,Cv-ketel,Aan park en in centrum,Balkon aanwezig,Parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42990920-grifthoek-118/,Plat dak,3 m²,Parkeerkelder,,,C,,,,,2001-2010,5 m²,Box,,,,,,,,,,,,1.569,"55,00",3 kamers ,2 slaapkamers,
7,7,Hickorylaan 168,3545 CT,"€ 1.201 per maand (exclusief servicekosten à € 65,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,81,7 m²,210 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,4e woonlaag,Lift en mechanische ventilatie,A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In woonwijk,Balkon aanwezig,Openbaar parkeren en parkeergarage,https://www.funda.nl/huur/utrecht/appartement-42814560-hickorylaan-168/,Plat dak bedekt met bitumineuze dakbedekking,4 m²,Parkeerkelder en parkeerplaats,,,A,,,,,,,,,,,,,,,,,,,1.201,"65,00",3 kamers ,2 slaapkamers,
8,8,CAB-rondom 151,3534 BJ,€ 927 per maand (servicekosten onbekend),Geen,Onbepaalde tijd,20 oktober 2022,Beschikbaar,In overleg,Galerijflat (appartement),Nieuwbouw,2022,,,74,11 m²,192 m³,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,"Lift, mechanische ventilatie en zonnepanelen",A,Volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,In centrum en in woonwijk,Balkon aanwezig,Openbaar parkeren,https://www.funda.nl/huur/utrecht/appartement-42991036-cab-rondom-151/,Plat dak bedekt met bitumineuze dakbedekking,,,,,A,,,,,,,,,,,,,,,,,,,927,,2 kamers ,1 slaapkamer,
9,9,Abel Tasmanstraat 23 A,3531 GS,€ 1.250 per maand (geen servicekosten),€ 1.250 eenmalig,Onbepaalde tijd,17 oktober 2022,Beschikbaar,Beschikbaar per 1-11-2022,Portiekflat (appartement),Bestaande bouw,1920,,,67,7 m²,201 m³,3 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Mechanische ventilatie en TV kabel,,,Cv-ketel,Cv-ketel,In centrum en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,https://www.funda.nl/huur/utrecht/appartement-42997041-abel-tasmanstraat-23-a/,Zadeldak bedekt met pannen,,,,,B,Gas gestookt,,,,,,Inpandig,,,,,,,,,,,,1.250,,3 kamers ,1 slaapkamer,
