,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration
0,Apartment Van Heuven Goedhartplein 653 in Utrecht,3527 DZ ,1025,,54,2,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/9e510513/van-heuven-goedhartplein,,,,,,
1,Apartment Van Sijpesteijnkade in Utrecht,3521 AH ,950,,43,2,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,,,,,,
2,House Carel Willinkstraat in Utrecht,3544 MA ,1650,,80,3,2.0,,False,True,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,,Temporary rental,€3300,€4950,2,
3,Apartment Jutfaseweg 96 in Utrecht,3522 HH ,700,,20,2,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,Unlimited period,,,,Minimum of 1 months
4,Apartment Pal Maleterstraat 57 in Utrecht,3573 PG ,1675,,112,4,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,
5,Apartment Koningslaan in Utrecht,3583 GB ,1250,,50,2,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,,
6,Apartment Van Hoornekade 135 in Utrecht,3554 AT ,1100,,90,4,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,,,,,,
7,Apartment Visschersplein 178 in Utrecht,3511 LX ,1495,,70,2,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,,€2990,,,
8,Studio Berlijnplein in Utrecht,3541 CM ,633,327,30,1,,1.0,False,True,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,,,€1500,€2000,2,
9,Apartment 2e Spechtstraat in Utrecht,3514 TW ,1625,,110,3,2.0,1.0,True,True,,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,12,,€1625,,,
10,Apartment Trumanlaan in Utrecht,3527 BM ,1530,,75,3,2.0,2.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,Unlimited period,€2000,,,
11,Apartment Karel Doormanlaan in Utrecht,3572 NA ,1750,,100,3,2.0,1.0,True,False,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,,Unlimited period,€3500,€5250,,
